stamp,face_id,fused_x,fused_y,fused_z,fused_qx,fused_qy,fused_qz,fused_qw,pred_x,pred_y,pred_z,pred_qx,pred_qy,pred_qz,pred_qw,pos_err,ang_err_deg,image_error,object_error,weight
1767066231.766111,10,-0.220509,-0.041697,0.576256,0.515873,0.669528,-0.270013,0.461194,-0.220288,-0.041761,0.575771,0.516510,0.669732,-0.269092,0.460723,0.000537,0.141123,0.000000,1.152652,0.867565
1767066231.799731,10,-0.220622,-0.041740,0.576389,0.516576,0.668892,-0.269357,0.461714,-0.220730,-0.041781,0.576516,0.517428,0.668119,-0.268560,0.462343,0.000172,0.175779,0.000000,1.150867,0.868910
1767066231.833112,10,-0.220698,-0.041987,0.576232,0.518162,0.668833,-0.266829,0.461490,-0.220770,-0.042223,0.576083,0.520083,0.668754,-0.263753,0.461212,0.000289,0.416870,0.000000,1.023118,0.977405
1767066231.866591,10,-0.220190,-0.041877,0.576078,0.516739,0.669847,-0.268371,0.460719,-0.219706,-0.041773,0.575931,0.515006,0.671074,-0.270243,0.459780,0.000517,0.341699,0.000000,1.235643,0.809295
1767066231.900106,10,-0.220273,-0.041742,0.576708,0.516007,0.669360,-0.269934,0.461335,-0.220351,-0.041613,0.577309,0.515115,0.668765,-0.271830,0.462081,0.000620,0.263741,0.000000,1.127954,0.886561
1767066231.933407,10,-0.220239,-0.041624,0.577222,0.514547,0.669561,-0.271538,0.461733,-0.220206,-0.041511,0.577713,0.512767,0.669801,-0.273488,0.462213,0.000506,0.308730,0.000000,1.114430,0.897320
1767066231.966980,10,-0.219988,-0.041592,0.576948,0.513827,0.669901,-0.272476,0.461488,-0.219749,-0.041562,0.576688,0.512953,0.670313,-0.273613,0.461190,0.000355,0.174364,0.000000,1.075010,0.930224
1767066232.000424,10,-0.220075,-0.041593,0.577119,0.513866,0.669842,-0.272569,0.461475,-0.220159,-0.041594,0.577282,0.513913,0.669771,-0.272682,0.461458,0.000183,0.016317,0.000000,1.076132,0.929254
1767066232.033925,10,-0.219612,-0.041699,0.575753,0.514604,0.670255,-0.271449,0.460713,-0.219170,-0.041799,0.574449,0.515497,0.670753,-0.270090,0.459787,0.001381,0.221981,0.000000,1.298136,0.770335
1767066232.067355,10,-0.220083,-0.041813,0.576051,0.515924,0.669613,-0.269503,0.461312,-0.220533,-0.041922,0.576336,0.517523,0.668828,-0.267136,0.462036,0.000544,0.349464,0.000000,1.126170,0.887965
1767066232.100610,10,-0.220377,-0.041712,0.576209,0.516054,0.668602,-0.270102,0.462282,-0.220658,-0.041616,0.576360,0.516211,0.667367,-0.270831,0.463463,0.000333,0.213532,0.000000,1.056706,0.946337
